date,total_visits,total_devices,total_visits_per_device,mean_7,year,julian_day
2019-04-21,10700,17386449,0.000615421815000866,0.00083851413245048,2019,111
2019-04-22,13677,19839698,0.000689375412871708,0.000832892286225594,2019,112
2019-04-23,14122,21461583,0.000658012971363762,0.000815262924361205,2019,113
2019-04-24,15157,21705451,0.000698303850032879,0.000799569011024856,2019,114
2019-04-25,15228,22095492,0.00068919035611427,0.00078047551318724,2019,115
2019-04-26,18100,22155824,0.000816940954215921,0.000739533413453883,2019,116
2019-04-27,17069,21091060,0.00080930024379998,0.000710935086199912,2019,117
2019-04-28,11990,20451489,0.000586265381459511,0.00070676988140829,2019,118
2019-04-29,13238,21339512,0.000620351580673447,0.000696909333951396,2019,119
2019-04-30,10937,20579818,0.000531442989437516,0.000678827907961932,2019,120
2019-05-01,13990,22949419,0.000609601489257746,0.000666156142136913,2019,121
2019-05-02,14604,21886124,0.000667272103548349,0.000663024963198924,2019,122
2019-05-03,18144,21333612,0.000850488890488868,0.000667817525523631,2019,123
2019-05-04,17540,20632739,0.000850105262321207,0.000673646813883806,2019,124
2019-05-05,11589,20275401,0.000571579324127794,0.000671548805693561,2019,125
2019-05-06,13578,20923727,0.000648928367302823,0.000675631203783472,2019,126
2019-05-07,13066,19825048,0.000659065239085424,0.000693862953733173,2019,127
2019-05-08,14984,21066230,0.000711280566100342,0.000708388536139258,2019,128
2019-05-09,15729,20987122,0.00074945959717583,0.00072012960665747,2019,129
2019-05-10,18946,21310153,0.000889059782911929,0.000725639734146478,2019,130
2019-05-11,19156,20472067,0.00093571401461318,0.000737869555902475,2019,131
2019-05-12,13906,20495584,0.000678487619576978,0.000753142169538072,2019,132
2019-05-13,14019,20809304,0.000673689038326318,0.000756679408255714,2019,133
2019-05-14,14690,20681393,0.000710300316811348,0.000763998705073704,2019,134
2019-05-15,15425,20515552,0.000751868631173073,0.000769797000084094,2019,135
2019-05-16,16037,20754982,0.000772681951735733,0.000773114479306937,2019,136
2019-05-17,18624,20789723,0.000895827231560517,0.000774081257685307,2019,137
2019-05-18,18342,20355592,0.000901079172740346,0.000769133423132045,2019,138
2019-05-19,12018,19341389,0.000621361785340236,0.000760972589669653,2019,139
2019-05-20,12561,19751732,0.000635944230105998,0.000755580474209607,2019,140
2019-05-21,13393,19448155,0.000688651442771821,0.000752487777918246,2019,141
2019-05-22,13881,19432665,0.000714312730652229,0.000747122649272411,2019,142
2019-05-23,14435,19308852,0.000747584579342159,0.000743537310359044,2019,143
2019-05-24,17849,19254385,0.00092700961365424,0.000747991936372433,2019,144
2019-05-25,18724,18826898,0.000994534521831478,0.000761342700528309,2019,145
2019-05-26,14689,18012086,0.000815507987248118,0.000789077872229435,2019,146
2019-05-27,12321,18147579,0.000678933537085029,0.000795219201797868,2019,147
2019-05-28,13417,19026668,0.000705168135587377,0.000797578729342947,2019,148
2019-05-29,14074,19670386,0.000715491805803913,0.00079774716865033,2019,149
2019-05-30,16969,19764975,0.000858538905311036,0.000813597786645884,2019,150
2019-05-31,14826,19422047,0.000763359289574369,0.000790219168920188,2019,151
2019-06-01,16808,20097590,0.000836319180558465,0.000767616977309758,2019,152
2019-06-02,12230,20191000,0.000605715417760388,0.000737646610240082,2019,153
2019-06-03,13629,20012406,0.000681027558605397,0.000737945756171564,2019,154
2019-06-04,14142,20583338,0.000687060572974121,0.000735358961512527,2019,155
2019-06-05,14578,21010677,0.000693837709275146,0.000732265519151275,2019,156
2019-06-06,15166,20495026,0.000739984423537692,0.000715329164612225,2019,157
2019-06-07,17763,19832738,0.000895640329640819,0.00073422645605029,2019,158
2019-06-08,17847,19730231,0.000904550990812018,0.000743973857515083,2019,159
2019-06-09,12048,19052378,0.000632362007514233,0.000747780513194204,2019,160
2019-06-10,13746,19784281,0.0006947940134898,0.000749747149606261,2019,161
2019-06-11,14827,19990150,0.00074171529478268,0.000757554967007484,2019,162
2019-06-12,15101,19831339,0.000761471527464686,0.000767216941034561,2019,163
2019-06-13,13635,19937831,0.000683875793710961,0.000759201422487885,2019,164
2019-06-14,18069,19381733,0.000932269575687582,0.000764434171923137,2019,165
2019-06-15,18721,19001297,0.00098524853329749,0.000775962392278205,2019,166
2019-06-16,14001,19161899,0.000730668708774637,0.000790006206743977,2019,167
2019-06-17,13670,19455487,0.000702629546101827,0.000791125568545695,2019,168
2019-06-18,14656,19578833,0.000748563512442238,0.000792103885354203,2019,169
2019-06-19,15120,19761140,0.000765138043655376,0.000792627673381444,2019,170
2019-06-20,16036,19952561,0.000803706351279918,0.000809746324462724,2019,171
2019-06-21,18109,19750993,0.000916865293810797,0.000807545712766041,2019,172
2019-06-22,18792,18822687,0.000998369680163093,0.000809420162318269,2019,173
2019-06-23,13371,19011612,0.000703307010473389,0.000805511348275234,2019,174
2019-06-24,13977,18625631,0.000750417529478599,0.000812338203043344,2019,175
2019-06-25,13525,17473351,0.000774035844641363,0.000815977107643219,2019,176
2019-06-26,13957,17342789,0.000804772519575715,0.000821639175631839,2019,177
2019-06-27,14687,17715303,0.000829057228092571,0.000825260729462218,2019,178
2019-06-28,17740,17723510,0.00100093040261212,0.00083727003071955,2019,179
2019-06-29,17086,17258002,0.000990033492868989,0.000836079146820393,2019,180
2019-06-30,10572,17424823,0.000606720653633038,0.0008222810958432,2019,181
2019-07-01,13540,18669412,0.00072525047923309,0.000818685802950984,2019,182
2019-07-02,14449,18597846,0.000776917929097811,0.000819097529301905,2019,183
2019-07-03,17223,18660108,0.000922985011662312,0.000835985028171419,2019,184
2019-07-04,13904,18015079,0.000771797892199085,0.000827805123043778,2019,185
2019-07-05,17481,18035387,0.000969261153087538,0.000823280944540266,2019,186
2019-07-06,17094,18245886,0.00093686872755864,0.000815685978067359,2019,187
