"date","year","month","trade.flow","prod.form","value"
2020-02-01,"2020",2,"import","Dried, salted, etc.",24708580
2020-02-01,"2020",2,"import","Frozen",833336594
2020-02-01,"2020",2,"import","Live, Fresh or chilled",410653911
2020-02-01,"2020",2,"import",NA,22636543
2020-03-01,"2020",3,"export","Dried, salted, etc.",2637690
2020-03-01,"2020",3,"export","Frozen",369613800
2020-03-01,"2020",3,"export","Live, Fresh or chilled",50379781
2020-03-01,"2020",3,"export",NA,1307103
2020-03-01,"2020",3,"import","Dried, salted, etc.",27238976
2020-03-01,"2020",3,"import","Frozen",790768628
2020-03-01,"2020",3,"import","Live, Fresh or chilled",377417052
2020-03-01,"2020",3,"import",NA,25934474
2020-04-01,"2020",4,"export","Dried, salted, etc.",2740310
2020-04-01,"2020",4,"export","Frozen",299103928
2020-04-01,"2020",4,"export","Live, Fresh or chilled",47472322
2020-04-01,"2020",4,"export",NA,529778
2020-04-01,"2020",4,"import","Dried, salted, etc.",27255521
2020-04-01,"2020",4,"import","Frozen",782634011
2020-04-01,"2020",4,"import","Live, Fresh or chilled",271281277
2020-04-01,"2020",4,"import",NA,12047329
2020-05-01,"2020",5,"export","Dried, salted, etc.",2172088
2020-05-01,"2020",5,"export","Frozen",177984557
2020-05-01,"2020",5,"export","Live, Fresh or chilled",57271583
2020-05-01,"2020",5,"export",NA,1121901
2020-05-01,"2020",5,"import","Dried, salted, etc.",24691359
2020-05-01,"2020",5,"import","Frozen",829551010
2020-05-01,"2020",5,"import","Live, Fresh or chilled",372340476
2020-05-01,"2020",5,"import",NA,7889634
2020-06-01,"2020",6,"export","Dried, salted, etc.",2232853
2020-06-01,"2020",6,"export","Frozen",153429727
2020-06-01,"2020",6,"export","Live, Fresh or chilled",64956118
2020-06-01,"2020",6,"export",NA,2210196
2020-06-01,"2020",6,"import","Dried, salted, etc.",28803509
2020-06-01,"2020",6,"import","Frozen",993572397
2020-06-01,"2020",6,"import","Live, Fresh or chilled",403071506
2020-06-01,"2020",6,"import",NA,9742916
